"permutation","balanced_accuracy"
1,0.296296296296296
2,0.148148148148148
3,0.259259259259259
4,0.185185185185185
5,0.296296296296296
6,0.296296296296296
7,0.222222222222222
8,0.333333333333333
9,0.185185185185185
10,0.222222222222222
11,0.222222222222222
12,0.37037037037037
13,0.333333333333333
14,0.37037037037037
15,0.333333333333333
16,0.407407407407407
17,0.666666666666667
18,0.37037037037037
19,0.444444444444444
20,0.296296296296296
21,0.148148148148148
22,0.259259259259259
23,0.333333333333333
24,0.185185185185185
25,0.148148148148148
26,0.296296296296296
27,0.296296296296296
28,0.296296296296296
29,0.333333333333333
30,0.222222222222222
31,0.148148148148148
32,0.37037037037037
33,0.222222222222222
34,0.37037037037037
35,0.296296296296296
36,0.296296296296296
37,0.259259259259259
38,0.518518518518518
39,0.333333333333333
40,0.37037037037037
41,0.37037037037037
42,0.222222222222222
43,0.111111111111111
44,0.111111111111111
45,0.259259259259259
46,0.296296296296296
47,0.333333333333333
48,0.185185185185185
49,0.222222222222222
50,0.296296296296296
51,0.333333333333333
52,0.333333333333333
53,0.296296296296296
54,0.407407407407407
55,0.333333333333333
56,0.37037037037037
57,0.444444444444444
58,0.111111111111111
59,0.148148148148148
60,0.37037037037037
61,0.407407407407407
62,0.296296296296296
63,0.407407407407407
64,0.333333333333333
65,0.296296296296296
66,0.481481481481482
67,0.407407407407407
68,0.296296296296296
69,0.444444444444444
70,0.37037037037037
71,0.259259259259259
72,0.333333333333333
73,0.111111111111111
74,0.407407407407407
75,0.444444444444444
76,0.259259259259259
77,0.259259259259259
78,0.296296296296296
79,0.222222222222222
80,0.37037037037037
81,0.37037037037037
82,0.222222222222222
83,0.296296296296296
84,0.407407407407407
85,0.407407407407407
86,0.259259259259259
87,0.296296296296296
88,0.444444444444444
89,0.444444444444444
90,0.444444444444444
91,0.407407407407407
92,0.296296296296296
93,0.259259259259259
94,0.444444444444444
95,0.481481481481481
96,0.37037037037037
97,0.407407407407407
98,0.222222222222222
99,0.444444444444444
100,0.37037037037037
101,0.185185185185185
102,0.259259259259259
103,0.148148148148148
104,0.407407407407407
105,0.333333333333333
106,0.222222222222222
107,0.407407407407407
108,0.222222222222222
109,0.444444444444444
110,0.296296296296296
111,0.444444444444444
112,0.296296296296296
113,0.259259259259259
114,0.222222222222222
115,0.518518518518518
116,0.222222222222222
117,0.333333333333333
118,0.222222222222222
119,0.481481481481481
120,0.407407407407407
121,0.518518518518518
122,0.111111111111111
123,0.111111111111111
124,0.296296296296296
125,0.444444444444444
126,0.222222222222222
127,0.333333333333333
128,0.333333333333333
129,0.296296296296296
130,0.333333333333333
131,0.333333333333333
132,0.444444444444444
133,0.407407407407407
134,0.296296296296296
135,0.259259259259259
136,0.259259259259259
137,0.333333333333333
138,0.37037037037037
139,0.481481481481482
140,0.333333333333333
141,0.407407407407407
142,0.407407407407407
143,0.333333333333333
144,0.333333333333333
145,0.333333333333333
146,0.37037037037037
147,0.185185185185185
148,0.555555555555556
149,0.259259259259259
150,0.37037037037037
151,0.111111111111111
152,0.407407407407407
153,0.37037037037037
154,0.481481481481481
155,0.444444444444444
156,0.296296296296296
157,0.222222222222222
158,0.185185185185185
159,0.333333333333333
160,0.296296296296296
161,0.333333333333333
162,0.296296296296296
163,0.333333333333333
164,0.333333333333333
165,0.148148148148148
166,0.222222222222222
167,0.296296296296296
168,0.222222222222222
169,0.185185185185185
170,0.37037037037037
171,0.148148148148148
172,0.259259259259259
173,0.259259259259259
174,0.407407407407407
175,0.222222222222222
176,0.0740740740740741
177,0.148148148148148
178,0.407407407407407
179,0.296296296296296
180,0.259259259259259
181,0.407407407407407
182,0.333333333333333
183,0.555555555555556
184,0.296296296296296
185,0.296296296296296
186,0.37037037037037
187,0.296296296296296
188,0.407407407407407
189,0.444444444444444
190,0.259259259259259
191,0.518518518518518
192,0.592592592592593
193,0.407407407407407
194,0.407407407407407
195,0.444444444444444
196,0.407407407407407
197,0.333333333333333
198,0.296296296296296
199,0.481481481481481
200,0.37037037037037
201,0.185185185185185
202,0.481481481481481
203,0.259259259259259
204,0.333333333333333
205,0.296296296296296
206,0.407407407407407
207,0.296296296296296
208,0.407407407407407
209,0.333333333333333
210,0.37037037037037
211,0.333333333333333
212,0.333333333333333
213,0.333333333333333
214,0.555555555555556
215,0.407407407407407
216,0.296296296296296
217,0.518518518518518
218,0.222222222222222
219,0.481481481481481
220,0.518518518518518
221,0.62962962962963
222,0.296296296296296
223,0.444444444444444
224,0.407407407407407
225,0.185185185185185
226,0.518518518518518
227,0.333333333333333
228,0.185185185185185
229,0.592592592592593
230,0.296296296296296
231,0.185185185185185
232,0.444444444444444
233,0.481481481481481
234,0.296296296296296
235,0.148148148148148
236,0.407407407407407
237,0.37037037037037
238,0.37037037037037
239,0.333333333333333
240,0.259259259259259
241,0.185185185185185
242,0.333333333333333
243,0.296296296296296
244,0.37037037037037
245,0.333333333333333
246,0.296296296296296
247,0.333333333333333
248,0.407407407407407
249,0.259259259259259
250,0.259259259259259
251,0.259259259259259
252,0.407407407407407
253,0.148148148148148
254,0.296296296296296
255,0.407407407407407
256,0.333333333333333
257,0.259259259259259
258,0.407407407407407
259,0.185185185185185
260,0.333333333333333
261,0.333333333333333
262,0.222222222222222
263,0.444444444444444
264,0.259259259259259
265,0.407407407407407
266,0.37037037037037
267,0.185185185185185
268,0.333333333333333
269,0.222222222222222
270,0.333333333333333
271,0.296296296296296
272,0.37037037037037
273,0.296296296296296
274,0.333333333333333
275,0.259259259259259
276,0.222222222222222
277,0.444444444444444
278,0.37037037037037
279,0.296296296296296
280,0.333333333333333
281,0.333333333333333
282,0.222222222222222
283,0.296296296296296
284,0.296296296296296
285,0.296296296296296
286,0.296296296296296
287,0.333333333333333
288,0.481481481481481
289,0.296296296296296
290,0.296296296296296
291,0.259259259259259
292,0.333333333333333
293,0.37037037037037
294,0.37037037037037
295,0.296296296296296
296,0.222222222222222
297,0.444444444444444
298,0.296296296296296
299,0.222222222222222
300,0.407407407407407
301,0.407407407407407
302,0.37037037037037
303,0.222222222222222
304,0.407407407407407
305,0.222222222222222
306,0.37037037037037
307,0.185185185185185
308,0.222222222222222
309,0.333333333333333
310,0.444444444444444
311,0.444444444444444
312,0.222222222222222
313,0.407407407407407
314,0.333333333333333
315,0.518518518518518
316,0.481481481481481
317,0.37037037037037
318,0.296296296296296
319,0.296296296296296
320,0.37037037037037
321,0.259259259259259
322,0.333333333333333
323,0.222222222222222
324,0.37037037037037
325,0.333333333333333
326,0.37037037037037
327,0.296296296296296
