"gene","selected_folds","selection_frequency"
"CCNA2",1,0.0166666666666667
"CDC37L1",1,0.0166666666666667
"CDC42EP1",1,0.0166666666666667
"CDC42EP3",1,0.0166666666666667
"CEBPA-DT",1,0.0166666666666667
"CEP55",1,0.0166666666666667
"CHAC1",1,0.0166666666666667
"CKS2",1,0.0166666666666667
"CLEC2B",1,0.0166666666666667
"COX7B",1,0.0166666666666667
"CREB5",1,0.0166666666666667
"DBF4",1,0.0166666666666667
"DDAH1",1,0.0166666666666667
"DDX18",1,0.0166666666666667
"DEPDC1",1,0.0166666666666667
"DEPDC1B",1,0.0166666666666667
"DHX15",1,0.0166666666666667
"DLGAP5",1,0.0166666666666667
"DOHH",1,0.0166666666666667
"DPY19L2P2",1,0.0166666666666667
"EBAG9",1,0.0166666666666667
"EIF5",1,0.0166666666666667
"ENSG00000254859",1,0.0166666666666667
"ENSG00000256913",1,0.0166666666666667
"ENSG00000267466",1,0.0166666666666667
"ENSG00000272768",1,0.0166666666666667
"ENSG00000281205",1,0.0166666666666667
"ENTPD4",1,0.0166666666666667
"ESCO1",1,0.0166666666666667
"FAM13C",1,0.0166666666666667
"FLRT2",1,0.0166666666666667
"FOSL1",1,0.0166666666666667
"FRMD3",1,0.0166666666666667
"GAS6-DT",1,0.0166666666666667
"GGA1",1,0.0166666666666667
"GINS3",1,0.0166666666666667
"GINS4",1,0.0166666666666667
"GNL3",1,0.0166666666666667
"H2BC8",1,0.0166666666666667
"H4C16",1,0.0166666666666667
"HACL2",1,0.0166666666666667
"HDAC2",1,0.0166666666666667
"HMGA2",1,0.0166666666666667
"HMGB2",1,0.0166666666666667
"HMGCS1",1,0.0166666666666667
"HNRNPH1",1,0.0166666666666667
"HOXC12",1,0.0166666666666667
"HRCT1",1,0.0166666666666667
"HUWE1",1,0.0166666666666667
"IFT25",1,0.0166666666666667
"ING3",1,0.0166666666666667
"INHBA-AS1",1,0.0166666666666667
"INTS15",1,0.0166666666666667
"KCNH5",1,0.0166666666666667
"KCNV1",1,0.0166666666666667
"KIF26A",1,0.0166666666666667
"LINC00460",1,0.0166666666666667
"LINC00944",1,0.0166666666666667
"LINC01836",1,0.0166666666666667
